bसूक्त१,Unnamed: 1,Unnamed: 2,सूक्त१ ।,sandhi
पू॒र्व्याअनु॑,अनु॑ पू॒र्व्याः,पू॒र्व्याअनु॑,पू॒र्व्याअनु॑ अनु॑ पू॒र्व्याः पू॒र्व्याअनु॑ ।,पू॒र्व्याअनु॑अनु॑पू॒र्व्याः  पू॒र्व्याअनु॑
अन्वित्यनु॑b॥,,,अन्वित्यनु॑॥ ,अन्वित्यनु॑
अच्छा॒राजा॑ना,राजा॑ना अच्छ॑,अच्छा॒राजा॑ना,अच्छा॒राजा॑ना राजा॑ना अच्छ॑ अच्छा॒राजा॑ना ।,अच्छा॒राजा॑नाराजा॑नाच्छ॑अच्छा॒राजा॑ना
राजा॑ना॒नमः॑,नमः॑ राजा॑ना,राजा॑ना॒नमः॑,राजा॑ना॒नमः॑ नमः॑ राजा॑ना राजा॑ना॒नमः॑ ।,राजा॑ना॒नमः॑नमः॑राजा॑नाराजा॑ना॒नमः॑
नम॑एति,ए॒ति॒ नमः॑,नम॑एति,नम॑एति ए॒ति॒ नमः॑ नम॑एति ।,नम॑एत्ये॒ति॒नमः॑नम॑एति
ए॒त्या॒वृत॑म्,आ॒ऽवृत॑म् ए॒ति॒,ए॒त्या॒वृत॑म्,ए॒त्या॒वृत॑म् आ॒ऽवृत॑म् ए॒ति॒ ए॒त्या॒वृत॑म् ।,ए॒त्या॒वृत॑मा॒ऽवृत॑मे॒ति॒ए॒त्या॒वृत॑म्
आ॒वृतं॑प्रशा॒स्त्रात्,प्र॒ऽशा॒स्त्रात् आ॒ऽवृत॑म्,आ॒वृतं॑प्रशा॒स्त्रात्,आ॒वृतं॑प्रशा॒स्त्रात् प्र॒ऽशा॒स्त्रात् आ॒ऽवृत॑म् आ॒वृतं॑प्रशा॒स्त्रात् ।,आ॒वृतं॑प्रशा॒स्त्रात्प्र॒ऽशा॒स्त्रादा॒ऽवृत॑मा॒वृतं॑प्रशा॒स्त्रात्
आ॒वृत॒मित्या॒bऽवृत॑म्,,,आ॒वृत॒मित्या॒ऽवृत॑म् ।,आ॒वृत॒मित्या॒ऽवृत॑म्
प्रशा॒स्त्रादापि॑बतम्,पि॒ब॒त॒म् आ प्र॒ऽशा॒स्त्रात्,प्रशा॒स्त्रादापि॑बतम्,प्रशा॒स्त्रादापि॑बतम् पि॒ब॒त॒म् आ प्र॒ऽशा॒स्त्रात् प्रशा॒स्त्रादापि॑बतम् ।,"प्रशा॒स्त्रादापि॑बतम्पि॒ब॒त॒माप्र॒ऽशा॒स्त्रात्प्रशा॒स्त्रादापि॑बतम्, प्रशा॒स्त्रादापि॑बतं  पि॒ब॒त॒माप्र॒ऽशा॒स्त्रात्प्रशा॒स्त्रादापि॑बतम्"
प्र॒शा॒स्त्रादिति॑प्र॒bऽशा॒स्त्रात्,,,प्र॒शा॒स्त्रादिति॑प्र॒ऽशा॒स्त्रात् ।,प्र॒शा॒स्त्रादिति॑प्र॒ऽशा॒स्त्रात्
आपि॑बतम्,सो॒म्यम् पि॒ब॒त॒म्,आपि॑बतम्,आपि॑बतम् सो॒म्यम् पि॒ब॒त॒म् आपि॑बतम् ।,"आपि॑बतं  सो॒म्यम्पि॒ब॒त॒मापि॑बतम्, आपि॑बतं  सो॒म्यं  पि॒ब॒त॒मापि॑बतम्"
पि॒ब॒तंसो॒म्यम्,मधु॑ सो॒म्यम्,पि॒ब॒तंसो॒म्यम्,पि॒ब॒तंसो॒म्यम् मधु॑ सो॒म्यम् पि॒ब॒तंसो॒म्यम् ।,"पि॒ब॒तंसो॒म्यम्मधु॑सो॒म्यम्पि॒ब॒तंसो॒म्यम्, पि॒ब॒तंसो॒म्यम्मधु॑सो॒म्यं  पि॒ब॒तंसो॒म्यम्, पि॒ब॒तंसो॒म्यं  मधु॑सो॒म्यम्पि॒ब॒तंसो॒म्यम्, पि॒ब॒तंसो॒म्यं  मधु॑सो॒म्यं  पि॒ब॒तंसो॒म्यम्"
सो॒म्यंमधु॑,हो॒त्रात् मन्द॑स्व,सो॒म्यंमधु॑,सो॒म्यंमधु॑ हो॒त्रात् मन्द॑स्व सो॒म्यंमधु॑ ।,"सो॒म्यंमधु॑हो॒त्राद्मन्द॑स्वसो॒म्यंमधु॑, सो॒म्यंमधु॑हो॒त्रान्मन्द॑स्वसो॒म्यंमधु॑"
मध्विति॒मधु॑b॥६b॥[२५],,,मध्विति॒मधु॑॥६॥[२५] ।,मध्विति॒मधु॑
bसूक्त३७,,,सूक्त३७ ।,सूक्त
मन्द॑स्वहो॒त्रात्,अनु॑ हो॒त्रात्,मन्द॑स्वहो॒त्रात्,मन्द॑स्वहो॒त्रात् अनु॑ हो॒त्रात् मन्द॑स्वहो॒त्रात् ।,"मन्द॑स्वहो॒त्रादनु॑हो॒त्राद्मन्द॑स्वहो॒त्रात्, मन्द॑स्वहो॒त्रादनु॑हो॒त्रान्मन्द॑स्वहो॒त्रात्"
हो॒त्रादनु॑,जोष॑म् अनु॑,हो॒त्रादनु॑,हो॒त्रादनु॑ जोष॑म् अनु॑ हो॒त्रादनु॑ ।,हो॒त्रादनु॑जोष॑मनु॑हो॒त्रादनु॑
अनु॒जोष॑म्,अन्ध॑सः जोष॑म्,अनु॒जोष॑म्,अनु॒जोष॑म् अन्ध॑सः जोष॑म् अनु॒जोष॑म् ।,अनु॒जोष॑मन्ध॑सो जोष॑मनु॒जोष॑म्
जोष॒मन्ध॑सः,अध्व॑र्यवः अन्ध॑सः,जोष॒मन्ध॑सः,जोष॒मन्ध॑सः अध्व॑र्यवः अन्ध॑सः जोष॒मन्ध॑सः ।,जोष॒मन्ध॑सोऽध्व॑र्यवोऽन्ध॑सो जोष॒मन्ध॑सः
अन्ध॒सोध्व॑र्यवः,सः अध्व॑र्यवः,अन्ध॒सोध्व॑र्यवः,अन्ध॒सोध्व॑र्यवः सः अध्व॑र्यवः अन्ध॒सोध्व॑र्यवः ।,"अन्ध॒सोध्व॑र्यवस्सोऽध्व॑र्यवोऽन्ध॒सोध्व॑र्यवः, अन्ध॒सोध्व॑र्यवः  सोऽध्व॑र्यवोऽन्ध॒सोध्व॑र्यवः"
अध्व॑र्यव॒स्सः,पू॒र्णाम् सः,अध्व॑र्यव॒स्सः,अध्व॑र्यव॒स्सः पू॒र्णाम् सः अध्व॑र्यव॒स्सः ।,अध्व॑र्यव॒स्सः  पू॒र्णां  सोऽध्व॑र्यव॒स्सः
सपू॒र्णाम्,व॒ष्टि॒ पू॒र्णाम्,सपू॒र्णाम्,सपू॒र्णाम् व॒ष्टि॒ पू॒र्णाम् सपू॒र्णाम् ।,"सपू॒र्णाँव॒ष्टि॒पू॒र्णां  सपू॒र्णाम्, सपू॒र्णां  व॒ष्टि॒पू॒र्णां  सपू॒र्णाम्"
पू॒र्णांव॑ष्टि,आ॒ऽसिच॑म् व॒ष्टि॒,पू॒र्णांव॑ष्टि,पू॒र्णांव॑ष्टि आ॒ऽसिच॑म् व॒ष्टि॒ पू॒र्णांव॑ष्टि ।,"पू॒र्णांव॑ष्ट्या॒ऽसिच॑ँव॒ष्टि॒पू॒र्णांव॑ष्टि, पू॒र्णांव॑ष्ट्या॒ऽसिच॑ं  व॒ष्टि॒पू॒र्णांव॑ष्टि"
व॒ष्ट्या॒सिच॑म्,ए॒तम् तस्मै॑,व॒ष्ट्या॒सिच॑म्,व॒ष्ट्या॒सिच॑म् ए॒तम् तस्मै॑ व॒ष्ट्या॒सिच॑म् ।,"व॒ष्ट्या॒सिच॑मे॒तन्तस्मै॑व॒ष्ट्या॒सिच॑म्, व॒ष्ट्या॒सिच॑मे॒तं  तस्मै॑व॒ष्ट्या॒सिच॑म्"
आ॒सिच॒मित्या॒bऽसिच॑म्b॥,,,आ॒सिच॒मित्या॒ऽसिच॑म्॥ ,आ॒सिच॒मित्या॒ऽसिच॑म्
तस्मा॑ए॒तम्,भ॒र॒त॒ ए॒तम्,तस्मा॑ए॒तम्,तस्मा॑ए॒तम् भ॒र॒त॒ ए॒तम् तस्मा॑ए॒तम् ।,"तस्मा॑ए॒तम्भ॒र॒त॒ए॒तन्तस्मा॑ए॒तम्, तस्मा॑ए॒तम्भ॒र॒त॒ए॒तं  तस्मा॑ए॒तम्, तस्मा॑ए॒तं  भ॒र॒त॒ए॒तन्तस्मा॑ए॒तम्, तस्मा॑ए॒तं  भ॒र॒त॒ए॒तं  तस्मा॑ए॒तम्"
ए॒तंभ॑रत,त॒त्ऽव॒शः भ॒र॒त॒,ए॒तंभ॑रत,ए॒तंभ॑रत त॒त्ऽव॒शः भ॒र॒त॒ ए॒तंभ॑रत ।,ए॒तंभ॑रतत॒त्ऽव॒शो भ॒र॒त॒ए॒तंभ॑रत
भ॒र॒त॒त॒द्व॒शः,द॒दिः त॒त्ऽव॒शः,भ॒र॒त॒त॒द्व॒शः,भ॒र॒त॒त॒द्व॒शः द॒दिः त॒त्ऽव॒शः भ॒र॒त॒त॒द्व॒शः ।,भ॒र॒त॒त॒द्व॒शो द॒दिस्त॒त्ऽव॒शो भ॒र॒त॒त॒द्व॒शः
त॒द्व॒शोद॒दिः,हो॒त्रात् द॒दिः,त॒द्व॒शोद॒दिः,त॒द्व॒शोद॒दिः हो॒त्रात् द॒दिः त॒द्व॒शोद॒दिः ।,त॒द्व॒शोद॒दिर्हो॒त्राद्द॒दिस्त॒द्व॒शोद॒दिः
त॒द्व॒शइति॑त॒त्bऽव॒शः,,,त॒द्व॒शइति॑त॒त्ऽव॒शः ।,त॒द्व॒शइति॑त॒त्ऽव॒शः
द॒दिर्हो॒त्रात्,सोम॑म् हो॒त्रात्,द॒दिर्हो॒त्रात्,द॒दिर्हो॒त्रात् सोम॑म् हो॒त्रात् द॒दिर्हो॒त्रात् ।,द॒दिर्हो॒त्रात्सोम॑ं  हो॒त्राद्द॒दिर्हो॒त्रात्
हो॒त्रात्सोम॑म्,द्र॒वि॒णः॒ऽदः॒ सोम॑म्,हो॒त्रात्सोम॑म्,हो॒त्रात्सोम॑म् द्र॒वि॒णः॒ऽदः॒ सोम॑म् हो॒त्रात्सोम॑म् ।,"हो॒त्रात्सोम॑न्द्र॒वि॒णः॒ऽदः॒सोम॑ं  हो॒त्रात्सोम॑म्, हो॒त्रात्सोम॑ं  द्र॒वि॒णः॒ऽदः॒सोम॑ं  हो॒त्रात्सोम॑म्"
